"","date","L005_MICROCYSTIN HILR_ug/L","days"
"1",2021-02-09,NA,9
"2",2021-03-10,NA,38
"3",2021-04-06,NA,64
"4",2021-05-04,NA,92
"5",2021-05-18,NA,106
"6",2021-06-08,NA,127
"7",2021-06-22,NA,141
"8",2021-07-08,NA,157
"9",2021-07-20,NA,169
"10",2021-08-03,NA,183
"11",2021-08-24,NA,204
"12",2021-09-08,NA,219
"13",2021-09-21,NA,232
"14",2021-10-05,NA,246
"15",2021-10-19,NA,260
"16",2021-11-02,NA,274
"17",2021-12-07,NA,310
"18",2022-01-04,NA,338
"19",2022-02-08,NA,373
"20",2022-03-08,NA,401
"21",2022-04-05,NA,428
"22",2022-05-03,NA,456
"23",2022-05-18,NA,471
"24",2022-06-07,NA,491
"25",2022-06-21,NA,505
"26",2022-07-06,NA,520
"27",2022-07-19,NA,533
"28",2022-08-02,NA,547
"29",2022-08-16,NA,561
"30",2022-09-06,NA,582
"31",2022-09-20,NA,596
"32",2022-10-04,NA,610
"33",2022-10-18,NA,624
"34",2022-11-15,NA,653
"35",2022-12-06,NA,674
"36",2023-01-10,NA,709
"37",2023-02-07,NA,737
"38",2023-03-07,NA,765
"39",2023-04-04,NA,792
"40",2023-05-02,NA,820
