"","date","L005_MICROCYSTIN LW_ug/L","days"
"1",2020-03-10,NA,10
"2",2020-04-07,NA,38
"3",2020-05-05,NA,66
"4",2020-05-20,NA,81
"5",2020-06-02,NA,94
"6",2020-06-23,NA,115
"7",2020-07-07,NA,129
"8",2020-07-21,NA,143
"9",2020-08-04,NA,157
"10",2020-08-25,NA,178
"11",2020-09-08,NA,192
"12",2020-09-23,NA,207
"13",2020-10-06,NA,220
"14",2020-10-21,NA,235
"15",2020-11-17,NA,262
"16",2020-12-15,NA,290
"17",2021-01-05,NA,311
"18",2021-02-09,NA,346
"19",2021-03-10,NA,375
"20",2021-04-06,NA,402
"21",2021-05-04,NA,430
"22",2021-05-18,NA,444
"23",2021-06-08,NA,465
"24",2021-06-22,NA,479
"25",2021-07-08,NA,495
"26",2021-07-20,NA,507
"27",2021-08-03,NA,521
"28",2021-08-24,NA,542
"29",2021-09-08,NA,557
"30",2021-09-21,NA,570
"31",2021-10-05,NA,584
"32",2021-10-19,NA,598
"33",2021-11-02,NA,612
"34",2021-12-07,NA,647
"35",2022-01-04,NA,675
"36",2022-02-08,NA,710
"37",2022-03-08,NA,738
"38",2022-04-05,NA,766
"39",2022-05-03,NA,794
"40",2022-05-18,NA,809
"41",2022-06-07,NA,829
"42",2022-06-21,NA,843
"43",2022-07-06,NA,858
"44",2022-07-19,NA,871
"45",2022-08-02,NA,885
"46",2022-08-16,NA,899
"47",2022-09-06,NA,920
"48",2022-09-20,NA,934
"49",2022-10-04,NA,948
"50",2022-10-18,NA,962
"51",2022-11-15,NA,990
"52",2022-12-06,NA,1011
"53",2023-01-10,NA,1046
"54",2023-02-07,NA,1074
"55",2023-03-07,NA,1102
"56",2023-04-04,NA,1130
"57",2023-05-02,NA,1158
