"","date","LZ40_CHLOROPHYLL-A_ug/L","days"
"1",1993-06-10,18.0333333333333,10
"2",1993-06-15,6.2,15
"3",1993-06-23,15.775,23
"4",1993-06-28,29.2666666666667,28
"5",1993-07-07,19.1,37
"6",1993-07-12,33.1666666666667,42
"7",1993-07-20,22.5666666666667,50
"8",1993-07-27,18.5333333333333,57
"9",1993-08-03,18.5666666666667,64
"10",1993-08-11,30.3666666666667,72
"11",1993-08-17,18.8,78
"12",1993-08-24,24.9,85
"13",1993-09-07,12.6,99
"14",1993-09-22,23.7,114
"15",1993-10-05,15.7,127
"16",1993-10-12,18.76,134
"17",1993-10-19,11.7666666666667,141
"18",1993-11-04,13.96,157
"19",1993-11-09,16.12,162
"20",1993-11-16,16.32,169
"21",1994-01-13,13.3,227
"22",1994-02-08,21.6,253
"23",1994-04-05,13.38,309
"24",1994-04-14,11.75,318
"25",1994-04-19,19.48,323
"26",1994-04-26,15.925,330
"27",1994-05-03,17.9833333333333,337
"28",1994-05-12,15.1571428571429,346
"29",1994-05-17,16.7142857142857,351
"30",1994-05-24,12.8,358
"31",1994-05-31,13.9142857142857,365
"32",1994-06-07,8.27142857142857,372
"33",1994-06-14,14.1714285714286,379
"34",1994-06-21,9.38571428571429,386
"35",1994-06-28,6.7,393
"36",1994-07-05,11.6142857142857,400
"37",1994-07-19,6.38571428571429,414
"38",1994-07-26,7.6,421
"39",1994-08-08,31.6,434
"40",1994-08-09,13.45,435
"41",1994-08-16,16.2666666666667,442
"42",1994-08-23,15.5142857142857,449
"43",1994-08-30,12.9142857142857,456
"44",1994-09-06,10.9571428571429,463
"45",1994-09-21,13.0285714285714,478
"46",1994-10-03,12.3666666666667,490
"47",1994-12-06,15.2,554
"48",1996-11-12,31.5,1261
"49",1996-12-10,3.4,1289
"50",1997-01-06,28.4,1316
"51",1997-02-03,12.7,1344
"52",1997-03-03,2.1,1372
"53",1997-04-08,36,1408
"54",1997-04-24,26.2,1424
"55",1997-05-08,22.4,1438
"56",1997-05-20,8.6,1450
"57",1997-06-02,36.3,1463
"58",1997-06-17,21.2,1478
"59",1997-07-15,21.6,1506
"60",1997-08-13,20.7,1535
"61",1997-08-25,25,1547
"62",1997-09-09,22.2,1562
"63",1997-09-23,15.1,1576
"64",1997-10-20,33.7,1603
"65",1997-11-17,18.6,1631
"66",1998-01-12,20.2,1687
"67",1998-02-10,16.8,1716
"68",1998-03-16,18.4,1750
"69",1998-03-31,17.1,1765
"70",1998-04-14,20.9,1779
"71",1998-04-28,9.8,1793
"72",1998-05-11,9.4,1806
"73",1998-05-27,10.4,1822
"74",1998-06-09,14.7,1835
"75",1998-06-23,7.6,1849
"76",1998-07-07,24.3,1863
"77",1998-07-21,13.4,1877
"78",1998-08-03,11.7,1890
"79",1998-08-18,18.4,1905
"80",1998-09-01,21,1919
"81",1998-09-29,24.5,1947
"82",1998-10-27,20.8,1975
"83",1998-11-24,12.2,2003
"84",1998-12-21,9.8,2030
"85",1999-01-20,30.3,2060
"86",1999-02-17,12.5,2088
"87",1999-03-16,31.4,2115
"88",1999-04-13,31.9,2143
"89",1999-04-27,21.6,2157
"90",1999-05-25,24.9,2185
"91",1999-06-15,28.6,2206
"92",1999-06-22,17.3,2213
"93",1999-07-06,10.6,2227
"94",1999-07-19,15.9,2240
"95",1999-08-03,59.5,2255
"96",1999-08-16,28.9,2268
"97",1999-08-31,33.1,2283
"98",1999-09-28,12.9,2311
"99",1999-10-11,39.9,2324
"100",1999-11-08,15.5,2352
"101",1999-12-06,10,2380
"102",2000-01-12,10.1,2417
"103",2000-02-14,4,2450
"104",2000-03-13,18.3,2478
"105",2000-04-10,3.2,2506
"106",2000-05-08,14.5,2534
"107",2000-05-23,12.3,2549
"108",2000-06-06,12,2563
"109",2000-06-20,14.4,2577
"110",2000-07-05,11.1,2592
"111",2000-08-15,12.4,2633
"112",2000-09-12,20.3,2661
"113",2000-09-26,13.2,2675
"114",2000-10-12,29.4,2691
"115",2000-11-07,27.1,2717
"116",2000-12-05,34.2,2745
"117",2001-01-02,22,2773
"118",2001-01-29,15.4,2800
"119",2001-02-28,31.4,2830
"120",2001-04-04,24,2865
"121",2001-05-30,23.4,2921
"122",2001-06-14,15.95,2936
"123",2001-06-25,24.6,2947
"124",2001-08-09,35.9,2992
"125",2001-08-20,15.8,3003
"126",2001-09-04,18.5,3018
"127",2001-10-15,27.6,3059
"128",2001-11-27,9.6,3102
"129",2001-12-10,9.1,3115
"130",2002-01-14,7,3150
"131",2002-02-11,14.7,3178
"132",2002-03-12,12.1,3207
"133",2002-04-10,15.4,3236
"134",2002-04-22,22.1,3248
"135",2002-05-06,19.4,3262
"136",2002-05-20,19.2,3276
"137",2002-06-04,58.9,3291
"138",2002-06-17,49.9,3304
"139",2002-07-15,24.9,3332
"140",2002-07-29,30.6,3346
"141",2002-08-12,21.6,3360
"142",2002-08-26,23.3,3374
"143",2002-09-09,18.6,3388
"144",2002-09-25,18.3,3404
"145",2002-10-21,17,3430
"146",2002-11-19,34.4,3459
"147",2002-12-16,22.5,3486
"148",2003-01-21,15,3522
"149",2003-02-18,19.1,3550
"150",2003-03-11,20.6,3571
"151",2003-04-02,15.6,3593
"152",2003-04-14,23.2,3605
"153",2003-05-05,5.6,3626
"154",2003-06-09,4.75,3661
"155",2003-07-14,22.7,3696
"156",2003-08-27,21,3740
"157",2003-09-09,20,3753
"158",2003-10-14,11,3788
"159",2003-11-13,48,3818
"160",2003-12-09,22,3844
"161",2004-01-06,16,3872
"162",2004-02-04,7.5,3901
"163",2004-03-17,26,3943
"164",2004-04-20,19,3977
"165",2004-05-18,20,4005
"166",2004-06-09,13,4027
"167",2004-07-20,20,4068
"168",2004-07-21,10,4069
"169",2004-08-10,22,4089
"170",2004-10-11,11,4151
"171",2004-10-18,5.5,4158
"172",2004-11-18,12,4189
"173",2004-12-29,8,4230
"174",2005-01-10,4.5,4242
"175",2005-01-25,7.66666666666667,4257
"176",2005-02-07,11,4270
"177",2005-03-07,11,4298
"178",2005-04-11,6,4333
"179",2005-05-02,7.33333333333333,4354
"180",2005-05-09,23,4361
"181",2005-06-21,6,4404
"182",2005-07-12,2.66666666666667,4425
"183",2005-07-20,5,4433
"184",2005-08-16,23,4460
"185",2005-09-13,5,4488
"186",2005-10-10,371,4515
"187",2005-11-01,8,4537
"188",2005-11-07,2,4543
"189",2005-12-19,10,4585
"190",2006-01-19,10,4616
"191",2006-02-06,8.5,4634
"192",2006-02-14,9,4642
"193",2006-03-14,4,4670
"194",2006-04-24,9,4711
"195",2006-05-09,3.33333333333333,4726
"196",2006-05-17,4,4734
"197",2006-06-14,3,4762
"198",2006-07-10,4,4788
"199",2006-07-24,3.66666666666667,4802
"200",2006-08-14,1,4823
"201",2006-09-27,10,4867
"202",2006-10-16,8,4886
"203",2006-11-06,6,4907
"204",2006-12-12,9,4943
"205",2007-01-16,13,4978
"206",2007-02-13,14,5006
"207",2007-03-19,12,5040
"208",2007-04-18,19,5070
"209",2007-08-13,14,5187
"210",2007-09-26,19,5231
"211",2007-10-15,32,5250
"212",2007-11-05,18,5271
"213",2007-12-11,10,5307
"214",2008-01-14,22,5341
"215",2008-02-14,24,5372
"216",2008-03-11,16,5398
"217",2008-04-14,31,5432
"218",2008-05-21,19,5469
"219",2008-06-09,39,5488
"220",2008-07-21,15,5530
"221",2008-08-11,17,5551
"222",2008-09-23,16,5594
"223",2008-10-20,16,5621
"224",2008-11-18,19,5650
"225",2008-12-16,3,5678
"226",2009-01-13,5,5706
"227",2009-02-12,3,5736
"228",2009-03-10,17,5762
"229",2009-04-28,22,5811
"230",2009-05-12,16,5825
"231",2009-06-10,12,5854
"232",2009-07-07,19,5881
"233",2009-08-18,12,5923
"234",2009-09-15,8,5951
"235",2009-10-13,17,5979
"236",2009-11-17,8,6014
"237",2009-12-15,15,6042
"238",2010-01-14,6,6072
"239",2010-03-10,9,6127
"240",2010-04-20,7,6168
"241",2010-05-19,6,6197
"242",2010-06-15,60,6224
"243",2010-07-13,18,6252
"244",2010-08-25,7,6295
"245",2010-09-20,23,6321
"246",2010-10-20,20,6351
"247",2010-11-01,9,6363
"248",2010-12-15,15,6407
"249",2011-01-04,16,6427
"250",2011-02-14,11,6468
"251",2011-03-08,9,6490
"252",2011-04-18,14,6531
