"","date","LZ40_MICROCYSTIN LR_ug/L","days"
"1",2020-05-06,NA,6
"2",2020-05-21,5.8,21
"3",2020-06-03,7.6,34
"4",2020-06-24,280,55
"5",2020-07-08,6.2,69
"6",2020-07-22,18,83
"7",2020-08-05,24,97
"8",2020-08-26,12,118
"9",2020-09-09,11,132
"10",2020-09-24,2.9,147
"11",2020-10-07,52,160
"12",2020-10-22,0.28,175
"13",2021-05-05,1.6,370
"14",2021-05-19,4.3,384
"15",2021-06-09,NA,405
"16",2021-06-23,11,419
"17",2021-07-07,5.3,433
"18",2021-07-21,9.7,447
"19",2021-08-04,NA,461
"20",2021-08-25,0.97,482
"21",2021-09-09,1.2,497
"22",2021-09-22,13,510
"23",2021-10-06,1.6,524
"24",2021-10-20,NA,538
"25",2022-05-04,NA,734
"26",2022-05-17,0.27,747
"27",2022-06-08,NA,769
"28",2022-06-22,NA,783
"29",2022-07-07,1.4,798
"30",2022-07-20,NA,811
"31",2022-08-03,0.45,825
"32",2022-08-17,NA,839
"33",2022-09-07,NA,860
"34",2022-09-21,NA,874
"35",2022-10-05,NA,888
"36",2022-10-19,NA,902
"37",2023-05-03,NA,1098
