"","date","LZ40_TOTAL NITROGEN_mg/L","days"
"1",2014-06-04,1.41,4
"2",2014-07-15,1.31,45
"3",2014-08-05,1.21,66
"4",2014-09-02,1.01,94
"5",2014-10-07,1.19,129
"6",2014-11-04,1.3,157
"7",2014-12-02,1.39,185
"8",2015-01-06,1.48,220
"9",2015-02-03,2.77,248
"10",2015-03-03,1.33,276
"11",2015-04-07,1.27,311
"12",2015-05-13,1.24,347
"13",2015-06-03,1.15,368
"14",2015-07-08,1.2,403
"15",2015-08-04,1.26,430
"16",2015-09-01,1.18,458
"17",2015-10-06,1.03,493
"18",2015-11-04,1.2,522
"19",2015-12-01,1.62,549
"20",2016-01-11,2.34,590
"21",2016-02-02,1.41,612
"22",2016-03-01,1.4,640
"23",2016-04-05,1.69,675
"24",2016-05-03,1.43,703
"25",2016-06-14,1.06,745
"26",2016-07-11,0.962,772
"27",2016-08-02,1.84,794
"28",2016-09-06,1.31,829
"29",2016-10-18,1.43,871
"30",2016-11-01,1.5,885
"31",2016-12-07,1.42,921
"32",2017-01-09,2.68,954
"33",2017-02-07,1.37,983
"34",2017-03-22,1.44,1026
"35",2017-04-17,1.53,1052
"36",2017-05-23,1.74,1088
"37",2017-06-20,1.56,1116
"38",2017-07-10,1.14,1136
"39",2017-08-14,0.947,1171
"40",2017-09-18,1.64,1206
"41",2017-10-10,1.51,1228
"42",2017-11-07,1.76,1256
"43",2017-12-05,1.78,1284
"44",2018-01-17,2.56,1327
"45",2018-02-06,1.9,1347
"46",2018-03-06,2.04,1375
"47",2018-04-03,1.56,1403
"48",2018-05-01,1.81,1431
"49",2018-06-05,1.52,1466
"50",2018-07-17,1.12,1508
"51",2018-08-14,0.887,1536
"52",2018-09-04,1.26,1557
"53",2018-10-16,1.26,1599
"54",2018-11-06,1.05,1620
"55",2018-12-04,1.21,1648
"56",2019-01-08,1.38,1683
"57",2019-02-12,1.23,1718
"58",2019-03-12,1.31,1746
"59",2019-04-02,1.31,1767
"60",2019-05-08,1.27,1803
"61",2019-06-05,1.12,1831
"62",2019-07-09,1.3,1865
"63",2019-08-06,0.965,1893
"64",2019-09-09,1.13,1927
"65",2019-10-01,1.76,1949
"66",2019-11-05,1.44,1984
"67",2019-12-03,2.64,2012
"68",2020-01-14,1.06,2054
"69",2020-02-04,1.7,2075
"70",2020-02-12,1.36,2083
"71",2020-03-11,1.45,2111
"72",2020-04-08,1.49,2139
"73",2020-05-06,1.47,2167
"74",2020-05-21,1.17,2182
"75",2020-06-03,2.06,2195
"76",2020-06-24,1.4,2216
"77",2020-07-08,0.981,2230
"78",2020-07-22,1.58,2244
"79",2020-08-05,1.18,2258
"80",2020-08-26,1.8,2279
"81",2020-09-09,1.39,2293
"82",2020-09-24,1.11,2308
"83",2020-10-07,3.29,2321
"84",2020-10-22,1.55,2336
"85",2020-12-16,1.31,2391
"86",2021-01-06,1.73,2412
"87",2021-02-10,1.34,2447
"88",2021-03-11,1.93,2476
"89",2021-04-07,1.53,2503
"90",2021-05-05,1.36,2531
"91",2021-05-19,0.86,2545
"92",2021-06-09,1.19,2566
"93",2021-06-23,3.64,2580
"94",2021-07-07,1.51,2594
"95",2021-07-21,0.969,2608
"96",2021-08-04,1.7,2622
"97",2021-08-25,1.03,2643
"98",2021-09-09,1.07,2658
"99",2021-09-22,0.946,2671
"100",2021-10-06,1.04,2685
"101",2021-10-20,1.17,2699
"102",2021-11-03,1.23,2713
"103",2021-12-08,1.18,2748
"104",2022-01-05,1.43,2776
"105",2022-02-09,1.1,2811
"106",2022-03-09,1.55,2839
"107",2022-04-06,1.9,2867
"108",2022-05-04,1.51,2895
"109",2022-05-17,1.47,2908
"110",2022-06-08,1.39,2930
"111",2022-06-22,1.66,2944
"112",2022-07-07,1.12,2959
"113",2022-07-20,1.13,2972
"114",2022-08-03,1.4,2986
"115",2022-08-17,1.02,3000
"116",2022-09-07,0.972,3021
"117",2022-09-21,1.06,3035
"118",2022-10-05,1.77,3049
"119",2022-10-19,2.88,3063
"120",2022-11-16,1.82,3091
"121",2022-12-07,1.04,3112
"122",2023-01-11,1.07,3147
"123",2023-02-08,2.2,3175
"124",2023-03-08,1.87,3203
"125",2023-04-05,1.07,3231
"126",2023-05-03,1.9,3259
