"","date","S4_TOTAL NITROGEN_mg/L","days"
"1",2017-04-12,3.42,12
"2",2017-04-24,1.43,24
"3",2017-05-03,1.52,33
"4",2017-05-08,1.56,38
"5",2017-05-10,1.82,40
"6",2017-05-22,1.18,52
"7",2017-05-24,1.7,54
"8",2017-06-05,1.72,66
"9",2017-06-07,2.9,68
"10",2017-06-19,3.17,80
"11",2017-07-05,2.2,96
"12",2017-07-12,2.61,103
"13",2017-07-17,2.51,108
"14",2017-08-01,2.59,123
"15",2017-08-28,2.07,150
"16",2017-09-06,2.41,159
"17",2017-09-13,2.82,166
"18",2017-09-14,3.09,167
"19",2017-09-20,2.61,173
"20",2017-09-25,2.04,178
"21",2017-09-27,2.32,180
"22",2017-10-09,2.81,192
"23",2017-10-11,2.255,194
"24",2017-10-23,2.06,206
"25",2017-11-01,3.645,215
"26",2017-11-06,2.55,220
"27",2017-11-08,2.905,222
"28",2017-11-20,2.43,234
"29",2017-12-20,1.74,264
"30",2018-01-16,1.6,291
"31",2018-02-12,1.73,318
"32",2018-03-12,1.59,346
"33",2018-04-23,1.66,388
"34",2018-05-07,1.3,402
"35",2018-05-23,2.88,418
"36",2018-05-30,4.035,425
"37",2018-06-06,3.95,432
"38",2018-06-18,3.57,444
"39",2018-07-02,3.05,458
"40",2018-07-16,1.84,472
"41",2018-07-30,2.08,486
"42",2018-08-27,2.15,514
"43",2018-09-24,1.51,542
"44",2018-10-22,1.46,570
"45",2018-12-17,1.44,626
"46",2019-01-14,1.31,654
"47",2019-02-11,1.98,682
"48",2019-02-25,2.04,696
"49",2019-03-11,1.2,710
"50",2019-04-10,1.34,740
"51",2019-05-06,1.46,766
"52",2019-06-03,1.63,794
"53",2019-07-01,2.68,822
"54",2019-07-29,2.36,850
"55",2019-08-26,1.94,878
"56",2019-09-05,3.435,888
"57",2019-09-23,1.2,906
"58",2019-10-21,3.06,934
"59",2019-11-18,1.31,962
"60",2019-12-16,1.92,990
"61",2020-01-13,1.34,1018
"62",2020-02-10,2.58,1046
"63",2020-03-09,1.43,1074
"64",2020-04-06,1.12,1102
"65",2020-05-04,1.06,1130
"66",2020-06-01,1.94,1158
"67",2020-06-24,2.82,1181
"68",2020-06-29,2.12,1186
"69",2020-07-01,1.985,1188
"70",2020-07-08,1.82,1195
"71",2020-07-13,1.8,1200
"72",2020-07-27,2.22,1214
"73",2020-08-24,1.54,1242
"74",2020-09-02,1.995,1251
"75",2020-09-08,2.37,1257
"76",2020-09-10,2.71,1259
"77",2020-09-21,2.65,1270
"78",2020-10-19,1.73,1298
"79",2020-10-28,2.77,1307
"80",2020-11-02,2.44,1312
"81",2020-11-16,2.71,1326
"82",2020-12-09,3.02,1349
"83",2020-12-14,1.79,1354
"84",2020-12-28,2.13,1368
"85",2021-01-11,1.25,1382
"86",2021-02-08,1.25,1410
"87",2021-03-08,1.27,1438
"88",2021-04-05,1.17,1466
"89",2021-04-19,1.16,1480
"90",2021-05-03,1.12,1494
"91",2021-05-26,6.19,1517
"92",2021-06-01,1.12,1523
"93",2021-06-28,1.7,1550
"94",2021-06-30,2.82,1552
"95",2021-07-12,2.54,1564
"96",2021-07-26,2.05,1578
"97",2021-08-23,2.98,1606
"98",2021-09-20,3.14,1634
"99",2021-09-23,2.455,1637
"100",2021-09-29,2.685,1643
"101",2021-10-04,2.17,1648
"102",2021-10-06,2.39,1650
"103",2021-10-18,1.63,1662
"104",2021-11-10,2.04,1685
"105",2021-11-15,2.42,1690
"106",2021-11-17,2.125,1692
"107",2021-12-13,1.23,1718
"108",2022-01-10,1.15,1746
"109",2022-01-26,1.58,1762
"110",2022-02-07,0.895,1774
"111",2022-03-07,1.15,1802
"112",2022-04-04,1.18,1830
"113",2022-05-02,1.19,1858
"114",2022-05-31,1.13,1887
"115",2022-07-25,1.92,1942
"116",2022-08-22,1.34,1970
"117",2022-09-19,2.43,1998
"118",2022-10-03,2.29,2012
"119",2022-10-05,2.6,2014
"120",2022-10-17,2.34,2026
"121",2022-10-31,1.62,2040
"122",2022-11-28,1.67,2068
"123",2022-12-27,1.1,2097
"124",2023-01-09,1.13,2110
"125",2023-02-06,1.54,2138
"126",2023-03-06,1.29,2166
"127",2023-04-03,1.33,2194
"128",2023-04-19,2.09,2210
"129",2023-04-26,2.27,2217
"130",2023-05-01,2.5,2222
"131",2023-05-03,2.31,2224
